Unnamed: 0,Condition,Owner_in,Size_in,Type_in,Quality_in,Owner_out,Size_out,Type_out,Quality_out,DaysInDeposit,week
0,O,1,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
1,O,1,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
2,D,2,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,29,5
3,O,1,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
4,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,30,5
5,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,28,5
6,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,32,5
7,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,25,5
8,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,30,5
9,O,6,2,DRY,CLASE B,2,2,DRY,CLASE B-C,30,5
10,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,21,5
11,O,6,2,DRY,CLASE B,2,2,DRY,CLASE B-C,30,5
12,O,6,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,31,5
13,O,6,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,21,5
14,O,6,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,82,5
15,O,6,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,85,5
16,O,3,2,DRY,CLASE A,9,2,DRY,CLASE B-C,39,5
17,O,9,2,DRY,CLASE B-C,2,2,DRY,CLASE A,28,5
18,O,9,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,30,5
19,O,2,2,RF,CLASE B-C,6,2,DRY,CLASE B-C,15,5
20,O,3,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,9,5
21,O,3,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
22,O,3,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
23,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
24,O,4,2,DRY,CLASE B-C,7,2,DRY,CLASE A,4,5
25,I,2,1,DRY,INSPECTION,7,2,DRY,CLASE B-C,4,5
26,D,2,1,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
27,D,2,1,DRY,CLASE B-C,7,2,DRY,CLASE D,4,5
28,O,2,1,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
29,D,2,1,DRY,CLASE D,7,2,DRY,CLASE B-C,4,5
30,O,2,2,RF,CLASE B-C,1,2,DRY,CLASE B-C,41,5
31,O,2,2,RF,CLASE B-C,1,2,DRY,CLASE B-C,38,5
32,O,5,2,DRY,CLASE B-C,3,2,DRY,CLASE A,19,5
33,O,5,2,DRY,CLASE B-C,3,2,DRY,CLASE A,19,5
34,O,5,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,23,5
35,D,5,2,DRY,CLASE D,2,2,DRY,CLASE B-C,30,5
36,D,5,2,DRY,CLASE B-C,2,2,DRY,CLASE A,28,5
37,O,5,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,30,5
38,O,5,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,18,5
39,O,5,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,24,5
40,O,1,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,24,5
41,I,1,2,DRY,INSPECTION,1,1,DRY,CLASE B-C,5,5
42,O,1,2,DRY,CLASE B-C,1,1,DRY,CLASE B-C,5,5
43,O,3,1,DRY,CLASE B-C,7,2,DRY,CLASE B,4,5
44,I,3,2,DRY,INSPECTION,7,2,DRY,CLASE B-C,4,5
45,O,3,2,DRY,CLASE A,7,2,DRY,CLASE B-C,4,5
46,O,3,2,DRY,CLASE B-C,7,2,DRY,CLASE A,4,5
47,I,3,2,DRY,INSPECTION,7,2,DRY,CLASE B-C,4,5
48,O,3,2,DRY,CLASE B-C,7,2,DRY,CLASE B,4,5
49,O,8,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
50,O,8,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
51,O,8,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
52,D,6,2,RF,CLASE B-C,7,2,DRY,CLASE B-C,4,5
53,O,6,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
54,O,6,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
55,O,6,2,RF,CLASE B-C,7,2,DRY,CLASE B-C,4,5
56,D,6,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
57,O,6,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
58,D,6,2,RF,CLASE B-C,7,2,DRY,CLASE B-C,4,5
59,D,6,2,RF,CLASE B-C,7,2,DRY,CLASE B-C,4,5
60,O,6,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,4,5
61,D,6,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
62,O,6,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,74,5
63,O,6,2,DRY,CLASE B-C,5,2,DRY,CLASE B-C,47,5
64,O,6,2,DRY,CLASE B-C,5,2,DRY,CLASE B-C,46,5
