Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
0,2,2,DRY,CLASE B-C,28,5
1,2,2,DRY,CLASE B-C,28,5
2,2,2,DRY,CLASE B-C,29,5
3,2,2,DRY,CLASE B-C,28,5
4,2,2,DRY,CLASE B-C,30,5
5,2,2,DRY,CLASE B-C,28,5
6,2,2,DRY,CLASE B-C,32,5
7,2,2,DRY,CLASE B-C,25,5
8,2,2,DRY,CLASE B-C,30,5
9,2,2,DRY,CLASE B-C,30,5
10,2,2,DRY,CLASE B-C,21,5
11,2,2,DRY,CLASE B-C,30,5
12,1,2,DRY,CLASE B-C,31,5
13,2,2,DRY,CLASE B-C,21,5
14,1,2,DRY,CLASE B-C,82,5
15,1,2,DRY,CLASE B-C,85,5
16,9,2,DRY,CLASE B-C,39,5
17,2,2,DRY,CLASE A,28,5
18,2,2,DRY,CLASE B-C,30,5
19,6,2,DRY,CLASE B-C,15,5
20,6,2,DRY,CLASE B-C,9,5
21,7,2,DRY,CLASE B-C,4,5
22,7,2,DRY,CLASE B-C,4,5
23,7,2,DRY,CLASE B-C,4,5
24,7,2,DRY,CLASE A,4,5
25,7,2,DRY,CLASE B-C,4,5
26,7,2,DRY,CLASE B-C,4,5
27,7,2,DRY,CLASE D,4,5
28,7,2,DRY,CLASE B-C,4,5
29,7,2,DRY,CLASE B-C,4,5
30,1,2,DRY,CLASE B-C,41,5
31,1,2,DRY,CLASE B-C,38,5
32,3,2,DRY,CLASE A,19,5
33,3,2,DRY,CLASE A,19,5
34,3,2,DRY,CLASE B-C,23,5
35,2,2,DRY,CLASE B-C,30,5
36,2,2,DRY,CLASE A,28,5
37,2,2,DRY,CLASE B-C,30,5
38,3,2,DRY,CLASE B-C,18,5
39,3,2,DRY,CLASE B-C,24,5
40,3,2,DRY,CLASE B-C,24,5
41,1,1,DRY,CLASE B-C,5,5
42,1,1,DRY,CLASE B-C,5,5
43,7,2,DRY,CLASE B,4,5
44,7,2,DRY,CLASE B-C,4,5
45,7,2,DRY,CLASE B-C,4,5
46,7,2,DRY,CLASE A,4,5
47,7,2,DRY,CLASE B-C,4,5
48,7,2,DRY,CLASE B,4,5
49,7,2,DRY,CLASE B-C,4,5
50,7,2,DRY,CLASE B-C,4,5
51,7,2,DRY,CLASE B-C,4,5
52,7,2,DRY,CLASE B-C,4,5
53,7,2,DRY,CLASE B-C,4,5
54,7,2,DRY,CLASE B-C,4,5
55,7,2,DRY,CLASE B-C,4,5
56,7,2,DRY,CLASE B-C,4,5
57,7,2,DRY,CLASE B-C,4,5
58,7,2,DRY,CLASE B-C,4,5
59,7,2,DRY,CLASE B-C,4,5
60,1,2,DRY,CLASE B-C,4,5
61,6,2,DRY,CLASE B-C,1,5
62,3,2,DRY,CLASE B-C,74,5
63,5,2,DRY,CLASE B-C,47,5
64,5,2,DRY,CLASE B-C,46,5
65,2,2,DRY,CLASE B-C,29,5
66,3,2,DRY,CLASE A,19,5
67,2,2,DRY,CLASE B-C,30,5
68,2,2,DRY,CLASE B-C,28,5
69,2,2,DRY,CLASE B-C,30,5
70,2,2,DRY,CLASE B-C,30,5
71,2,2,DRY,CLASE B-C,25,5
72,2,2,DRY,CLASE B-C,28,5
73,2,2,DRY,CLASE B-C,25,5
74,1,2,DRY,CLASE B-C,31,5
75,3,2,DRY,CLASE B-C,18,5
76,3,2,DRY,CLASE B-C,24,5
77,3,2,DRY,CLASE B-C,24,5
78,3,2,DRY,CLASE B-C,18,5
79,3,2,DRY,CLASE B-C,18,5
80,3,2,DRY,CLASE B-C,24,5
81,6,2,DRY,CLASE B-C,15,5
