,Condition,Owner,Size,Type,Quality,week
0,D,1,2,DRY,CLASE B-C,1
1,D,1,2,DRY,CLASE B-C,1
2,D,2,2,DRY,CLASE B-C,1
3,O,2,2,DRY,CLASE B-C,1
4,I,3,1,DRY,INSPECTION,1
5,O,4,2,DRY,CLASE B-C,1
6,D,4,2,DRY,CLASE B-C,1
7,D,4,2,DRY,CLASE B-C,1
8,O,5,2,DRY,CLASE B-C,1
9,I,6,1,DRY,INSPECTION,1
10,D,7,2,DRY,CLASE A,1
11,O,7,2,DRY,CLASE B-C,1
12,O,7,2,DRY,CLASE B-C,1
13,D,7,2,DRY,CLASE B-C,1
14,O,7,2,DRY,CLASE B-C,1
15,O,7,2,DRY,CLASE B-C,1
16,D,7,2,RF,CLASE B-C,1
17,O,7,2,DRY,CLASE B-C,1
18,O,7,2,DRY,CLASE B-C,1
19,O,7,2,DRY,CLASE B-C,1
20,D,7,2,DRY,CLASE B-C,1
21,D,7,2,DRY,CLASE B-C,1
22,I,7,1,DRY,INSPECTION,1
23,D,7,2,DRY,CLASE B-C,1
24,O,7,2,DRY,CLASE B-C,1
25,I,7,2,DRY,INSPECTION,1
26,O,7,2,DRY,CLASE B-C,1
27,O,4,2,DRY,CLASE B-C,1
28,O,4,2,DRY,CLASE B-C,1
29,O,2,2,DRY,CLASE B-C,1
30,O,2,2,DRY,CLASE B-C,1
31,O,2,2,DRY,CLASE B-C,1
32,O,2,2,DRY,CLASE B-C,1
33,O,2,2,DRY,CLASE B-C,1
34,O,2,2,DRY,CLASE B-C,1
35,O,2,2,DRY,CLASE B-C,1
36,O,2,2,DRY,CLASE B-C,1
37,O,2,2,DRY,CLASE B-C,1
38,O,2,2,DRY,CLASE B-C,1
39,O,2,2,DRY,CLASE B-C,1
40,O,2,2,DRY,CLASE B-C,1
41,D,2,2,DRY,CLASE B-C,1
42,O,2,2,DRY,CLASE B-C,1
43,O,2,2,DRY,CLASE B-C,1
44,D,2,2,DRY,CLASE B-C,1
45,O,2,2,DRY,CLASE B-C,1
46,D,2,2,DRY,CLASE B-C,1
47,O,2,2,DRY,CLASE B-C,1
48,D,2,2,DRY,CLASE B-C,1
49,O,2,2,DRY,CLASE B-C,1
50,D,2,2,DRY,INSPECTION,1
51,D,2,2,DRY,CLASE B-C,1
52,O,2,2,DRY,CLASE B-C,1
53,O,2,2,DRY,CLASE B-C,1
54,O,2,2,DRY,CLASE B-C,1
55,O,2,2,DRY,CLASE B-C,1
56,D,2,2,DRY,CLASE B-C,1
57,O,2,2,DRY,CLASE B-C,1
58,O,2,2,DRY,CLASE B-C,1
59,O,2,2,DRY,CLASE B-C,1
60,O,2,2,DRY,CLASE B-C,1
61,D,2,2,DRY,CLASE B-C,1
62,O,2,2,DRY,CLASE B-C,1
63,O,2,2,DRY,CLASE B-C,1
64,O,2,2,DRY,CLASE B-C,1
65,O,2,2,DRY,CLASE B-C,1
66,O,2,2,DRY,CLASE B-C,1
67,D,2,2,DRY,CLASE B-C,1
68,O,2,2,DRY,CLASE B-C,1
69,O,2,2,DRY,CLASE B-C,1
70,O,2,2,DRY,CLASE B-C,1
71,O,2,2,DRY,CLASE B-C,1
72,O,2,2,DRY,CLASE B-C,1
73,O,2,2,DRY,CLASE B-C,1
74,O,2,2,DRY,CLASE B-C,1
75,O,2,2,DRY,CLASE B-C,1
76,O,2,2,DRY,CLASE B-C,1
77,O,2,2,DRY,CLASE B-C,1
78,O,2,2,DRY,CLASE B-C,1
79,O,2,2,DRY,CLASE B-C,1
80,O,2,2,DRY,CLASE B-C,1
81,O,2,2,DRY,CLASE B-C,1
82,I,2,1,DRY,INSPECTION,1
83,I,2,1,DRY,INSPECTION,1
84,I,2,1,DRY,INSPECTION,1
85,O,2,2,DRY,CLASE B-C,1
86,I,2,1,DRY,INSPECTION,1
87,O,2,2,DRY,CLASE B-C,1
88,D,2,2,DRY,CLASE B-C,1
89,O,2,2,DRY,CLASE B-C,1
90,I,2,2,DRY,CLASE B-C,1
91,O,2,2,DRY,CLASE B-C,1
92,O,2,2,DRY,CLASE A,1
93,O,2,2,DRY,CLASE B-C,1
94,D,2,2,DRY,CLASE B-C,1
95,D,2,2,DRY,CLASE B-C,1
96,D,2,2,DRY,CLASE B-C,1
97,I,2,2,DRY,INSPECTION,1
98,O,2,2,DRY,CLASE B-C,1
99,O,2,2,DRY,CLASE B-C,1
100,I,2,1,DRY,INSPECTION,1
101,O,2,2,DRY,CLASE B-C,1
102,O,2,2,DRY,CLASE B-C,1
103,O,2,2,DRY,CLASE B-C,1
104,O,2,2,DRY,CLASE B-C,1
105,D,2,2,DRY,CLASE B-C,1
106,O,2,2,DRY,CLASE B-C,1
