,Owner,Size,Type,Quality,DaysInDeposit,week
0,7,2,DRY,CLASE B-C,7,11
1,7,2,DRY,CLASE A,7,11
2,7,2,DRY,CLASE B-C,17,11
3,7,2,DRY,CLASE A,7,11
4,7,2,DRY,CLASE B-C,7,11
5,7,2,DRY,CLASE B-C,8,11
6,7,2,DRY,CLASE B-C,8,11
7,7,2,DRY,CLASE D,7,11
8,7,2,DRY,CLASE B-C,2,11
9,7,2,DRY,CLASE B-C,7,11
10,7,2,DRY,CLASE B-C,7,11
11,7,2,DRY,CLASE B-C,7,11
12,7,2,DRY,CLASE B-C,7,11
13,2,2,DRY,CLASE B-C,3,11
14,2,2,DRY,CLASE B-C,68,11
15,2,2,DRY,CLASE B-C,68,11
16,7,2,DRY,CLASE B-C,24,11
17,7,2,DRY,CLASE B-C,18,11
18,7,2,DRY,CLASE B-C,16,11
19,7,2,DRY,CLASE B-C,2,11
20,7,2,DRY,CLASE B-C,2,11
21,7,2,DRY,CLASE B-C,7,11
22,7,2,DRY,CLASE B-C,11,11
23,7,2,DRY,CLASE B-C,7,11
24,7,2,DRY,CLASE B-C,12,11
25,7,2,DRY,CLASE B-C,8,11
26,7,2,DRY,CLASE B-C,8,11
27,7,2,DRY,CLASE B-C,8,11
28,7,2,DRY,CLASE B-C,8,11
29,7,2,DRY,CLASE B-C,12,11
30,7,2,DRY,CLASE B-C,47,11
31,6,2,RF,CLASE B-C,31,11
32,7,2,DRY,CLASE B-C,28,11
33,7,2,DRY,CLASE B-C,35,11
34,2,2,RF,CLASE B-C,26,11
35,2,2,RF,CLASE B-C,26,11
36,2,2,RF,CLASE B-C,26,11
37,7,2,DRY,CLASE B-C,25,11
38,7,2,DRY,CLASE B-C,25,11
39,7,2,DRY,CLASE B-C,22,11
40,7,2,DRY,CLASE B-C,16,11
41,7,2,DRY,CLASE B-C,12,11
42,7,2,DRY,CLASE B-C,16,11
43,7,2,DRY,CLASE B-C,16,11
44,7,2,DRY,CLASE B-C,16,11
45,7,2,DRY,CLASE B-C,16,11
46,7,2,DRY,CLASE B-C,12,11
47,7,2,DRY,CLASE B-C,12,11
